contractSymbol,lastTradeDate,strike,lastPrice,volume,impliedVolatility,inTheMoney,underlyingPriceAtTrade,riskFreeRate
ETHA260227P00005000,2026-02-06 16:27:28+00:00,5.0,0.01,200.0,50.0005,0,15.34,0.03593
ETHA260227P00010000,2026-02-09 17:06:39+00:00,10.0,0.1,7.0,50.0005,0,15.73,0.03593
ETHA260227P00011000,2026-02-09 20:54:47+00:00,11.0,0.11,2.0,50.0005,0,16.06,0.03593
ETHA260227P00012000,2026-02-09 18:34:16+00:00,12.0,0.17,135.0,25.0008,0,16.0865,0.03593
ETHA260227P00013000,2026-02-09 20:09:11+00:00,13.0,0.23,57.0,25.0008,0,16.14,0.03593
ETHA260227P00014000,2026-02-09 20:58:23+00:00,14.0,0.37,164.0,12.5009,0,16.0599,0.03593
ETHA260227P00015000,2026-02-09 20:33:12+00:00,15.0,0.65,83.0,6.2509,0,16.04,0.03593
ETHA260227P00016000,2026-02-09 18:28:10+00:00,16.0,1.11,627.0,0.3916,0,15.995,0.03593
ETHA260227P00017000,2026-02-09 20:13:11+00:00,17.0,1.56,163.0,0.001,1,16.175,0.03593
ETHA260227P00017500,2026-02-09 20:08:26+00:00,17.5,1.99,25.0,0.001,1,16.22,0.03593
ETHA260227P00018000,2026-02-09 18:10:49+00:00,18.0,2.32,9.0,0.001,1,16.11,0.03593
ETHA260227P00018500,2026-02-09 16:42:29+00:00,18.5,3.22,1.0,0.001,1,15.6324,0.03593
ETHA260227P00019000,2026-02-06 20:50:11+00:00,19.0,3.6,26.0,0.001,1,15.625,0.03593
ETHA260227P00019500,2026-02-09 17:15:38+00:00,19.5,3.85,451.0,0.001,1,15.76,0.03593
ETHA260227P00020000,2026-02-09 17:11:52+00:00,20.0,4.54,13.0,0.001,1,15.755,0.03593
ETHA260227P00020500,2026-02-06 18:14:22+00:00,20.5,5.15,80.0,0.001,1,15.47,0.03593
ETHA260227P00021000,2026-02-09 15:28:19+00:00,21.0,5.8,24.0,0.001,1,15.3661,0.03593
ETHA260227P00021500,2026-02-09 17:22:25+00:00,21.5,6.11,20.0,0.001,1,15.745,0.03593
ETHA260227P00022000,2026-02-09 20:56:35+00:00,22.0,6.02,4.0,0.001,1,16.0499,0.03593
ETHA260227P00022500,2026-02-09 20:23:11+00:00,22.5,6.7,1.0,0.001,1,16.075,0.03593
ETHA260227P00023000,2026-02-09 15:56:40+00:00,23.0,7.45,110.0,0.001,1,15.5699,0.03593
ETHA260227P00023500,2026-02-09 17:46:31+00:00,23.5,7.82,1.0,0.001,1,16.0302,0.03593
ETHA260227P00024000,2026-02-06 16:58:19+00:00,24.0,8.92,2.0,0.001,1,15.355,0.03593
ETHA260227P00024500,2026-02-05 20:55:50+00:00,24.5,10.69,15.0,0.001,1,13.975,0.03593
ETHA260227P00025000,2026-02-09 20:08:52+00:00,25.0,8.8,2.0,0.001,1,16.14,0.03593
ETHA260227P00025500,2026-01-30 20:47:53+00:00,25.5,5.42,2.0,0.001,1,,0.03593
ETHA260227P00026000,2026-02-06 14:56:02+00:00,26.0,11.1,1.0,0.001,1,14.875,0.03593
ETHA260227P00026500,2026-02-09 16:10:49+00:00,26.5,11.1,1.0,0.001,1,15.48,0.03593
ETHA260227P00027000,2026-02-06 19:40:27+00:00,27.0,11.65,3.0,0.001,1,15.505,0.03593
ETHA260227P00027500,2026-02-02 14:47:40+00:00,27.5,9.83,24.0,0.001,1,,0.03593
ETHA260227P00028000,2026-02-09 20:18:30+00:00,28.0,12.29,7.0,0.001,1,16.04,0.03593
ETHA260227P00028500,2026-02-06 14:49:01+00:00,28.5,13.6,5.0,0.001,1,14.9815,0.03593
ETHA260227P00029000,2026-02-05 15:02:09+00:00,29.0,13.56,1.0,0.001,1,15.345,0.03593
ETHA260227P00030000,2026-02-05 17:23:01+00:00,30.0,14.98,2.0,0.001,1,14.8751,0.03593
ETHA260227P00031000,2026-01-26 14:51:46+00:00,31.0,9.22,1.0,0.001,1,,0.03593
ETHA260227P00032000,2026-02-02 17:33:35+00:00,32.0,14.17,1.0,0.001,1,,0.03593
ETHA260227P00034000,2026-02-09 18:20:54+00:00,34.0,17.96,1.0,0.001,1,15.96,0.03593
