contractSymbol,lastTradeDate,strike,lastPrice,volume,impliedVolatility,inTheMoney,underlyingPriceAtTrade,riskFreeRate
GLD280616C00400000,2026-02-09 15:05:29+00:00,400.0,124.8,20.0,0.001,1,462.9995,0.03593
GLD280616C00450000,2026-02-09 18:18:20+00:00,450.0,100.15,24.0,0.001,1,464.595,0.03593
GLD280616C00460000,2026-02-09 18:24:09+00:00,460.0,94.85,40.0,0.001,1,464.245,0.03593
GLD280616C00480000,2026-02-09 19:02:44+00:00,480.0,86.15,29.0,0.3916,0,465.5708,0.03593
GLD280616C00500000,2026-02-09 20:02:25+00:00,500.0,79.15,51.0,0.7822,0,466.68,0.03593
GLD280616C00580000,2026-02-09 20:36:03+00:00,580.0,54.65,8.0,3.126,0,466.31,0.03593
GLD280616C00590000,2026-02-09 20:32:39+00:00,590.0,52.3,6.0,3.126,0,467.17,0.03593
GLD280616C00600000,2026-02-09 17:48:42+00:00,600.0,50.05,23.0,3.126,0,465.32,0.03593
GLD280616C00650000,2026-02-06 18:15:04+00:00,650.0,38.82,67.0,3.126,0,456.37,0.03593
GLD280616C00700000,2026-02-09 20:33:53+00:00,700.0,33.9,2.0,6.2509,0,466.685,0.03593
GLD280616C00710000,2026-02-09 20:34:18+00:00,710.0,32.65,2.0,6.2509,0,466.685,0.03593
GLD280616C00830000,2026-02-06 21:01:48+00:00,830.0,21.92,2.0,6.2509,0,455.35,0.03593
GLD280616C00890000,2026-02-05 20:18:24+00:00,890.0,17.45,,6.2509,0,443.62,0.03593
GLD280616C00900000,2026-02-06 20:37:47+00:00,900.0,18.2,10.0,6.2509,0,454.01,0.03593
