contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
GOOG270319P00170000,2026-02-02 18:47:59+00:00,170.0,2.4,0.0,0.0,0.0,0.0,3.0,0,0.12500875,False,REGULAR,USD,2027-03-19
GOOG270319P00180000,2026-01-30 18:16:36+00:00,180.0,3.25,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,2027-03-19
GOOG270319P00190000,2026-02-05 15:57:42+00:00,190.0,5.22,0.0,0.0,0.0,0.0,,0,0.12500875,False,REGULAR,USD,2027-03-19
GOOG270319P00195000,2026-02-06 18:22:12+00:00,195.0,5.2,0.0,0.0,0.0,0.0,3.0,0,0.12500875,False,REGULAR,USD,2027-03-19
GOOG270319P00200000,2026-02-06 18:13:51+00:00,200.0,5.8,0.0,0.0,0.0,0.0,2.0,0,0.12500875,False,REGULAR,USD,2027-03-19
GOOG270319P00205000,2026-01-22 15:31:38+00:00,205.0,5.98,0.0,0.0,0.0,0.0,,0,0.062509375,False,REGULAR,USD,2027-03-19
GOOG270319P00210000,2026-02-05 16:53:12+00:00,210.0,7.15,0.0,0.0,0.0,0.0,,0,0.062509375,False,REGULAR,USD,2027-03-19
GOOG270319P00220000,2026-02-02 17:03:46+00:00,220.0,7.25,0.0,0.0,0.0,0.0,,0,0.062509375,False,REGULAR,USD,2027-03-19
GOOG270319P00225000,2026-02-09 14:51:11+00:00,225.0,10.1,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD,2027-03-19
GOOG270319P00230000,2026-02-02 17:33:19+00:00,230.0,8.82,0.0,0.0,0.0,0.0,,0,0.062509375,False,REGULAR,USD,2027-03-19
GOOG270319P00235000,2026-02-05 16:51:51+00:00,235.0,11.52,0.0,0.0,0.0,0.0,,0,0.062509375,False,REGULAR,USD,2027-03-19
GOOG270319P00240000,2026-02-06 15:28:37+00:00,240.0,12.67,0.0,0.0,0.0,0.0,3.0,0,0.062509375,False,REGULAR,USD,2027-03-19
GOOG270319P00245000,2026-02-06 15:28:37+00:00,245.0,13.87,0.0,0.0,0.0,0.0,3.0,0,0.062509375,False,REGULAR,USD,2027-03-19
GOOG270319P00250000,2026-02-09 14:41:49+00:00,250.0,15.26,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD,2027-03-19
GOOG270319P00255000,2026-01-26 14:36:17+00:00,255.0,15.78,0.0,0.0,0.0,0.0,,0,0.062509375,False,REGULAR,USD,2027-03-19
GOOG270319P00260000,2026-02-04 17:36:27+00:00,260.0,17.45,0.0,0.0,0.0,0.0,20.0,0,0.0312596875,False,REGULAR,USD,2027-03-19
GOOG270319P00265000,2026-02-06 15:44:15+00:00,265.0,19.25,0.0,0.0,0.0,0.0,14.0,0,0.0312596875,False,REGULAR,USD,2027-03-19
GOOG270319P00275000,2026-02-02 20:30:31+00:00,275.0,18.69,0.0,0.0,0.0,0.0,,0,0.0312596875,False,REGULAR,USD,2027-03-19
GOOG270319P00280000,2026-02-09 14:31:14+00:00,280.0,25.72,0.0,0.0,0.0,0.0,5.0,0,0.0312596875,False,REGULAR,USD,2027-03-19
GOOG270319P00285000,2026-01-28 20:16:13+00:00,285.0,23.25,0.0,0.0,0.0,0.0,,0,0.0312596875,False,REGULAR,USD,2027-03-19
GOOG270319P00290000,2026-02-04 20:25:27+00:00,290.0,26.24,0.0,0.0,0.0,0.0,2.0,0,0.0312596875,False,REGULAR,USD,2027-03-19
GOOG270319P00295000,2026-02-06 15:13:15+00:00,295.0,30.75,0.0,0.0,0.0,0.0,2.0,0,0.015634843750000002,False,REGULAR,USD,2027-03-19
GOOG270319P00300000,2026-02-06 18:40:49+00:00,300.0,31.41,0.0,0.0,0.0,0.0,60.0,0,0.015634843750000002,False,REGULAR,USD,2027-03-19
GOOG270319P00305000,2026-02-06 17:19:56+00:00,305.0,34.5,0.0,0.0,0.0,0.0,3.0,0,0.015634843750000002,False,REGULAR,USD,2027-03-19
GOOG270319P00310000,2026-02-09 19:55:28+00:00,310.0,35.37,0.0,0.0,0.0,0.0,5.0,0,0.007822421875,False,REGULAR,USD,2027-03-19
GOOG270319P00315000,2026-02-05 15:54:45+00:00,315.0,41.24,0.0,0.0,0.0,0.0,1.0,0,0.007822421875,False,REGULAR,USD,2027-03-19
GOOG270319P00320000,2026-02-09 19:55:28+00:00,320.0,40.0,0.0,0.0,0.0,0.0,6.0,0,0.0039162109375,False,REGULAR,USD,2027-03-19
GOOG270319P00325000,2026-02-09 16:36:58+00:00,325.0,41.84,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2027-03-19
GOOG270319P00330000,2026-02-05 19:18:47+00:00,330.0,43.61,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2027-03-19
GOOG270319P00335000,2026-01-27 19:41:42+00:00,335.0,44.66,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,2027-03-19
GOOG270319P00340000,2026-02-05 20:35:48+00:00,340.0,49.55,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2027-03-19
GOOG270319P00345000,2026-02-05 17:39:48+00:00,345.0,54.12,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,2027-03-19
GOOG270319P00350000,2026-02-06 14:36:25+00:00,350.0,56.17,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2027-03-19
GOOG270319P00370000,2026-02-05 14:33:48+00:00,370.0,77.7,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,2027-03-19
GOOG270319P00380000,2026-01-29 15:04:28+00:00,380.0,73.97,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,2027-03-19
GOOG270319P00500000,2026-02-04 19:58:28+00:00,500.0,168.54,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,2027-03-19
