contractSymbol,lastTradeDate,strike,lastPrice,volume,impliedVolatility,inTheMoney,underlyingPriceAtTrade,riskFreeRate
MSFT280121P00210000,2026-02-09 20:49:23+00:00,210.0,4.8,26.0,12.5009,0,414.3287,0.03593
MSFT280121P00215000,2026-02-09 20:46:19+00:00,215.0,5.23,71.0,6.2509,0,413.8,0.03593
MSFT280121P00220000,2026-02-05 19:12:05+00:00,220.0,6.3,,6.2509,0,400.0592,0.03593
MSFT280121P00225000,2026-02-05 15:14:52+00:00,225.0,7.2,1.0,6.2509,0,398.14,0.03593
MSFT280121P00230000,2026-02-05 20:37:55+00:00,230.0,8.04,13.0,6.2509,0,393.67,0.03593
MSFT280121P00240000,2026-02-09 20:29:05+00:00,240.0,7.8,401.0,6.2509,0,412.98,0.03593
MSFT280121P00250000,2026-02-09 17:49:23+00:00,250.0,9.05,6.0,6.2509,0,412.605,0.03593
MSFT280121P00260000,2026-02-09 19:03:37+00:00,260.0,10.35,22.0,6.2509,0,413.43,0.03593
MSFT280121P00270000,2026-02-09 17:31:50+00:00,270.0,12.05,12.0,6.2509,0,412.585,0.03593
MSFT280121P00280000,2026-02-09 17:31:50+00:00,280.0,13.8,12.0,6.2509,0,412.585,0.03593
MSFT280121P00290000,2026-02-09 15:37:15+00:00,290.0,16.35,3.0,6.2509,0,410.8,0.03593
MSFT280121P00300000,2026-02-09 19:38:21+00:00,300.0,17.46,27.0,6.2509,0,414.805,0.03593
MSFT280121P00310000,2026-02-09 19:37:07+00:00,310.0,19.67,9.0,3.126,0,414.85,0.03593
MSFT280121P00320000,2026-02-09 17:28:16+00:00,320.0,22.9,6.0,3.126,0,412.465,0.03593
MSFT280121P00330000,2026-02-09 18:36:33+00:00,330.0,25.31,10.0,3.126,0,413.075,0.03593
MSFT280121P00340000,2026-02-09 20:44:53+00:00,340.0,28.5,18.0,3.126,0,413.87,0.03593
MSFT280121P00350000,2026-02-09 20:37:35+00:00,350.0,32.0,25.0,3.126,0,413.05,0.03593
MSFT280121P00360000,2026-02-09 20:59:51+00:00,360.0,35.1,94.0,1.5635,0,413.5,0.03593
MSFT280121P00370000,2026-02-09 20:12:54+00:00,370.0,38.63,22.0,1.5635,0,414.14,0.03593
MSFT280121P00380000,2026-02-09 19:21:24+00:00,380.0,42.5,6.0,1.5635,0,413.81,0.03593
MSFT280121P00390000,2026-02-09 19:17:16+00:00,390.0,46.7,5.0,0.7822,0,414.0555,0.03593
MSFT280121P00400000,2026-02-09 17:59:55+00:00,400.0,52.08,29.0,0.3916,0,411.91,0.03593
MSFT280121P00410000,2026-02-09 20:21:34+00:00,410.0,56.54,210.0,0.1963,0,413.165,0.03593
MSFT280121P00420000,2026-02-09 17:59:55+00:00,420.0,61.79,2.0,0.001,1,411.91,0.03593
MSFT280121P00430000,2026-02-09 19:34:36+00:00,430.0,65.98,5.0,0.001,1,414.56,0.03593
MSFT280121P00440000,2026-02-06 16:20:24+00:00,440.0,80.35,5.0,0.001,1,397.17,0.03593
MSFT280121P00450000,2026-02-09 16:30:12+00:00,450.0,78.88,15.0,0.001,1,412.0,0.03593
MSFT280121P00460000,2026-02-09 14:51:52+00:00,460.0,87.86,1.0,0.001,1,406.2108,0.03593
MSFT280121P00470000,2026-02-06 15:56:03+00:00,470.0,101.52,1.0,0.001,1,393.8775,0.03593
MSFT280121P00480000,2026-02-05 19:18:26+00:00,480.0,104.35,52.0,0.001,1,399.9,0.03593
MSFT280121P00490000,2026-02-03 15:02:42+00:00,490.0,99.87,6.0,0.001,1,,0.03593
MSFT280121P00500000,2026-02-06 19:41:07+00:00,500.0,119.06,1.0,0.001,1,399.3201,0.03593
MSFT280121P00505000,2026-01-29 18:29:18+00:00,505.0,105.75,35.0,0.001,1,,0.03593
MSFT280121P00510000,2026-02-04 20:21:21+00:00,510.0,114.23,1.0,0.001,1,415.7606,0.03593
MSFT280121P00515000,2026-01-29 15:10:02+00:00,515.0,110.65,2.0,0.001,1,,0.03593
MSFT280121P00520000,2026-02-03 15:35:15+00:00,520.0,123.76,2.0,0.001,1,,0.03593
MSFT280121P00525000,2026-02-05 20:58:11+00:00,525.0,142.62,33.0,0.001,1,393.58,0.03593
MSFT280121P00530000,2026-02-06 14:59:10+00:00,530.0,143.73,4.0,0.001,1,395.6075,0.03593
MSFT280121P00535000,2026-01-26 20:19:38+00:00,535.0,96.6,2.0,0.001,1,,0.03593
MSFT280121P00540000,2026-02-06 14:59:10+00:00,540.0,151.95,4.0,0.001,1,395.6075,0.03593
MSFT280121P00545000,2026-02-05 15:25:44+00:00,545.0,153.21,1.0,0.001,1,400.63,0.03593
MSFT280121P00550000,2026-02-06 14:30:07+00:00,550.0,161.43,20.0,0.001,1,394.77,0.03593
MSFT280121P00555000,2026-01-26 19:58:52+00:00,555.0,109.1,2.0,0.001,1,,0.03593
MSFT280121P00560000,2026-02-05 20:09:08+00:00,560.0,169.35,10.0,0.001,1,396.765,0.03593
MSFT280121P00565000,2026-02-05 20:58:01+00:00,565.0,176.17,22.0,0.001,1,393.58,0.03593
MSFT280121P00570000,2026-02-05 15:20:28+00:00,570.0,175.33,1.0,0.001,1,399.105,0.03593
MSFT280121P00575000,2026-02-05 20:09:43+00:00,575.0,182.4,5.0,0.001,1,396.475,0.03593
MSFT280121P00580000,2026-01-28 20:44:29+00:00,580.0,122.5,3.0,0.001,1,,0.03593
MSFT280121P00585000,2026-01-16 15:17:01+00:00,585.0,138.55,,0.001,1,,0.03593
MSFT280121P00590000,2026-01-20 15:40:20+00:00,590.0,145.83,2.0,0.001,1,,0.03593
MSFT280121P00595000,2025-12-04 18:48:57+00:00,595.0,134.19,2.0,0.001,1,,0.03593
MSFT280121P00600000,2026-02-09 20:13:26+00:00,600.0,189.12,1.0,0.001,1,414.14,0.03593
MSFT280121P00605000,2026-02-05 17:06:08+00:00,605.0,202.05,3.0,0.001,1,404.81,0.03593
MSFT280121P00610000,2026-02-02 15:37:30+00:00,610.0,185.85,2.0,0.001,1,,0.03593
MSFT280121P00620000,2026-01-23 18:18:03+00:00,620.0,159.24,4.0,0.001,1,,0.03593
MSFT280121P00625000,2026-01-29 20:01:27+00:00,625.0,203.27,,0.001,1,,0.03593
MSFT280121P00630000,2025-12-08 15:15:13+00:00,630.0,152.34,2.0,0.001,1,,0.03593
MSFT280121P00635000,2026-02-04 16:13:33+00:00,635.0,219.45,4.0,0.001,1,416.218,0.03593
MSFT280121P00640000,2026-02-05 16:09:39+00:00,640.0,240.35,15.0,0.001,1,400.13,0.03593
MSFT280121P00645000,2026-02-04 16:13:32+00:00,645.0,229.2,2.0,0.001,1,416.218,0.03593
MSFT280121P00650000,2026-02-04 19:16:35+00:00,650.0,233.6,1.0,0.001,1,416.59,0.03593
MSFT280121P00655000,2026-01-29 20:06:47+00:00,655.0,231.9,11.0,0.001,1,,0.03593
MSFT280121P00660000,2026-01-29 16:52:36+00:00,660.0,237.15,1.0,0.001,1,,0.03593
MSFT280121P00665000,2026-01-27 14:33:51+00:00,665.0,193.06,,0.001,1,,0.03593
MSFT280121P00670000,2026-01-27 14:33:51+00:00,670.0,197.7,1.0,0.001,1,,0.03593
MSFT280121P00675000,2026-01-29 19:56:08+00:00,675.0,251.53,81.0,0.001,1,,0.03593
MSFT280121P00680000,2026-01-29 20:33:31+00:00,680.0,252.5,1.0,0.001,1,,0.03593
MSFT280121P00685000,2025-12-16 18:41:35+00:00,685.0,211.07,1.0,0.001,1,,0.03593
MSFT280121P00690000,2026-01-27 14:33:58+00:00,690.0,215.69,1.0,0.001,1,,0.03593
MSFT280121P00695000,2026-01-06 20:39:08+00:00,695.0,217.6,15.0,0.001,1,,0.03593
MSFT280121P00700000,2026-01-27 20:54:52+00:00,700.0,220.95,1.0,0.001,1,,0.03593
MSFT280121P00705000,2025-11-20 14:30:21+00:00,705.0,213.5,5.0,0.001,1,,0.03593
MSFT280121P00710000,2026-01-12 18:17:43+00:00,710.0,231.4,,0.001,1,,0.03593
MSFT280121P00720000,2025-11-19 17:36:35+00:00,720.0,236.0,,0.001,1,,0.03593
MSFT280121P00730000,2025-11-17 20:37:15+00:00,730.0,223.99,1.0,0.001,1,,0.03593
MSFT280121P00745000,2025-11-20 14:30:21+00:00,745.0,253.0,5.0,0.001,1,,0.03593
MSFT280121P00760000,2025-10-30 15:14:58+00:00,760.0,233.75,2.0,0.001,1,,0.03593
MSFT280121P00765000,2025-12-01 17:07:49+00:00,765.0,276.45,2.0,0.001,1,,0.03593
MSFT280121P00775000,2026-01-23 18:23:26+00:00,775.0,305.05,6.0,0.001,1,,0.03593
MSFT280121P00780000,2025-12-01 17:10:08+00:00,780.0,291.34,1.0,0.001,1,,0.03593
MSFT280121P00800000,2026-01-16 16:10:20+00:00,800.0,340.16,1.0,0.001,1,,0.03593
