contractSymbol,lastTradeDate,strike,lastPrice,volume,impliedVolatility,inTheMoney,underlyingPriceAtTrade,riskFreeRate
USO270115C00035000,2026-02-06 14:32:04+00:00,35.0,42.0,1.0,0.001,1,76.4965,0.03593
USO270115C00040000,2026-01-20 16:10:56+00:00,40.0,34.0,1.0,0.001,1,,0.03593
USO270115C00045000,2026-02-04 19:50:23+00:00,45.0,34.5,1.0,0.001,1,77.83,0.03593
USO270115C00050000,2026-02-09 20:57:05+00:00,50.0,30.4,4.0,0.001,1,78.02,0.03593
USO270115C00051000,2026-01-14 14:35:19+00:00,51.0,25.54,1.0,0.001,1,,0.03593
USO270115C00052000,2025-11-07 14:47:51+00:00,52.0,23.14,1.0,0.001,1,,0.03593
USO270115C00053000,2026-01-21 16:55:46+00:00,53.0,23.42,1.0,0.001,1,,0.03593
USO270115C00054000,2026-01-21 16:48:28+00:00,54.0,22.73,11.0,0.001,1,,0.03593
USO270115C00055000,2026-02-05 19:36:03+00:00,55.0,24.8,1.0,0.001,1,76.34,0.03593
USO270115C00056000,2026-01-13 14:39:16+00:00,56.0,21.0,1.0,0.001,1,,0.03593
USO270115C00057000,2026-02-03 19:35:26+00:00,57.0,23.38,1.0,0.001,1,,0.03593
USO270115C00058000,2026-02-09 19:28:09+00:00,58.0,23.9,1.0,0.001,1,78.12,0.03593
USO270115C00059000,2026-02-02 19:52:10+00:00,59.0,20.71,5.0,0.001,1,,0.03593
USO270115C00060000,2026-02-03 15:49:32+00:00,60.0,20.6,1.0,0.001,1,,0.03593
USO270115C00061000,2026-02-04 18:27:14+00:00,61.0,22.5,7.0,0.001,1,78.83,0.03593
USO270115C00062000,2026-02-04 19:43:39+00:00,62.0,22.0,1.0,0.001,1,78.75,0.03593
USO270115C00063000,2026-02-06 15:44:20+00:00,63.0,20.0,1.0,0.001,1,77.285,0.03593
USO270115C00064000,2026-02-04 14:54:03+00:00,64.0,18.5,4.0,0.001,1,76.705,0.03593
USO270115C00065000,2026-02-09 14:50:03+00:00,65.0,18.8,6.0,0.001,1,77.88,0.03593
USO270115C00066000,2026-02-02 16:26:42+00:00,66.0,16.01,5.0,0.001,1,,0.03593
USO270115C00067000,2026-02-05 15:39:55+00:00,67.0,16.33,20.0,0.001,1,76.24,0.03593
USO270115C00068000,2026-02-09 19:28:09+00:00,68.0,17.1,1.0,0.001,1,78.12,0.03593
USO270115C00069000,2026-02-06 18:54:08+00:00,69.0,16.01,13.0,0.001,1,77.62,0.03593
USO270115C00070000,2026-02-09 20:28:25+00:00,70.0,16.06,1.0,0.001,1,77.95,0.03593
USO270115C00071000,2026-02-05 17:56:48+00:00,71.0,14.67,10.0,0.001,1,76.99,0.03593
USO270115C00072000,2026-02-09 15:08:18+00:00,72.0,14.5,1.0,0.001,1,77.62,0.03593
USO270115C00073000,2026-02-09 15:10:02+00:00,73.0,13.8,2.0,0.001,1,77.66,0.03593
USO270115C00074000,2026-02-09 15:08:44+00:00,74.0,13.25,3.0,0.001,1,77.66,0.03593
USO270115C00075000,2026-02-09 20:20:27+00:00,75.0,13.25,19.0,0.001,1,77.96,0.03593
USO270115C00076000,2026-02-04 16:16:18+00:00,76.0,11.72,4.0,0.001,1,76.27,0.03593
USO270115C00077000,2026-02-06 19:38:36+00:00,77.0,11.54,3.0,0.001,1,77.01,0.03593
USO270115C00078000,2026-02-09 17:47:33+00:00,78.0,11.61,1.0,0.001,1,78.5,0.03593
USO270115C00079000,2026-02-09 19:16:08+00:00,79.0,12.0,1.0,0.3916,0,78.19,0.03593
USO270115C00080000,2026-02-09 18:32:20+00:00,80.0,10.93,10.0,0.7822,0,78.275,0.03593
USO270115C00081000,2026-02-02 14:33:33+00:00,81.0,9.1,2.0,0.7822,0,,0.03593
USO270115C00082000,2026-02-09 18:25:24+00:00,82.0,10.14,6.0,1.5635,0,78.35,0.03593
USO270115C00085000,2026-02-09 18:13:42+00:00,85.0,9.01,4.0,1.5635,0,78.4,0.03593
USO270115C00090000,2026-02-09 20:52:52+00:00,90.0,6.99,53.0,3.126,0,78.055,0.03593
USO270115C00095000,2026-02-06 20:21:42+00:00,95.0,6.0,27.0,6.2509,0,76.9,0.03593
USO270115C00100000,2026-02-09 16:11:02+00:00,100.0,4.65,2.0,6.2509,0,77.8,0.03593
USO270115C00105000,2026-02-09 15:55:04+00:00,105.0,4.0,1.0,6.2509,0,77.84,0.03593
USO270115C00110000,2026-02-05 18:23:33+00:00,110.0,3.05,7.0,6.2509,0,76.78,0.03593
USO270115C00115000,2026-02-09 20:52:52+00:00,115.0,2.64,16.0,6.2509,0,78.055,0.03593
USO270115C00120000,2026-02-09 20:27:38+00:00,120.0,2.4,6.0,12.5009,0,77.95,0.03593
USO270115C00125000,2026-02-09 20:48:23+00:00,125.0,2.32,192.0,12.5009,0,77.97,0.03593
