contractSymbol,strike,lastPrice,percentChange,volume,contractSize,lastTradeDate,impliedVolatility,inTheMoney
AAPL260213C00110000,110.0,159.59,0.0,0.0,REGULAR,2026-02-03 14:50:41,0.001,1
AAPL260213C00120000,120.0,149.55,0.0,0.0,REGULAR,2026-02-03 14:50:41,0.001,1
AAPL260213C00140000,140.0,136.17,0.0,1.0,REGULAR,2026-02-04 15:02:55,0.001,1
AAPL260213C00150000,150.0,110.0,0.0,2.0,REGULAR,2026-01-30 20:30:54,0.001,1
AAPL260213C00160000,160.0,109.18,0.0,4.0,REGULAR,2026-02-03 17:17:22,0.001,1
AAPL260213C00185000,185.0,94.32,0.0,1.0,REGULAR,2026-02-06 15:41:59,0.001,1
AAPL260213C00190000,190.0,67.58,0.0,2.0,REGULAR,2026-01-30 19:00:02,0.001,1
AAPL260213C00200000,200.0,77.35,0.0,225.0,REGULAR,2026-02-06 20:42:54,0.001,1
AAPL260213C00205000,205.0,67.95,0.0,4.0,REGULAR,2026-02-09 16:54:13,0.001,1
AAPL260213C00210000,210.0,63.5,0.0,2.0,REGULAR,2026-02-09 16:44:52,0.001,1
AAPL260213C00215000,215.0,62.36,0.0,47.0,REGULAR,2026-02-06 19:04:59,0.001,1
AAPL260213C00217500,217.5,56.2,0.0,0.0,REGULAR,2026-02-04 18:05:03,0.001,1
AAPL260213C00220000,220.0,53.51,0.0,1.0,REGULAR,2026-02-09 16:34:33,0.001,1
AAPL260213C00225000,225.0,47.1,0.0,20.0,REGULAR,2026-02-09 18:16:25,0.001,1
AAPL260213C00227500,227.5,45.95,0.0,43.0,REGULAR,2026-02-09 15:17:33,0.001,1
AAPL260213C00230000,230.0,42.25,0.0,44.0,REGULAR,2026-02-09 18:02:06,0.001,1
AAPL260213C00232500,232.5,37.65,0.0,1.0,REGULAR,2026-02-02 20:55:17,0.001,1
AAPL260213C00235000,235.0,43.45,0.0,7.0,REGULAR,2026-02-06 20:58:55,0.001,1
AAPL260213C00237500,237.5,39.65,0.0,16.0,REGULAR,2026-02-06 19:00:16,0.001,1
AAPL260213C00240000,240.0,34.5,0.0,8.0,REGULAR,2026-02-09 20:50:00,0.001,1
AAPL260213C00242500,242.5,36.1,0.0,3.0,REGULAR,2026-02-06 20:22:54,0.001,1
AAPL260213C00245000,245.0,28.28,0.0,4.0,REGULAR,2026-02-09 18:50:40,0.001,1
AAPL260213C00247500,247.5,26.18,0.0,12.0,REGULAR,2026-02-09 16:24:57,0.001,1
AAPL260213C00250000,250.0,25.75,0.0,171.0,REGULAR,2026-02-09 20:58:17,0.001,1
AAPL260213C00252500,252.5,22.7,0.0,121.0,REGULAR,2026-02-09 20:55:10,0.001,1
AAPL260213C00255000,255.0,19.5,0.0,58.0,REGULAR,2026-02-09 20:24:10,0.001,1
AAPL260213C00257500,257.5,15.77,0.0,54.0,REGULAR,2026-02-09 19:59:52,0.001,1
AAPL260213C00260000,260.0,15.4,0.0,445.0,REGULAR,2026-02-09 20:58:56,0.001,1
AAPL260213C00262500,262.5,11.91,0.0,1218.0,REGULAR,2026-02-09 20:44:12,0.001,1
AAPL260213C00265000,265.0,10.3,0.0,936.0,REGULAR,2026-02-09 20:50:13,0.001,1
AAPL260213C00267500,267.5,8.39,0.0,1593.0,REGULAR,2026-02-09 20:59:19,0.001,1
AAPL260213C00270000,270.0,6.2,0.0,2670.0,REGULAR,2026-02-09 20:59:39,0.001,1
AAPL260213C00272500,272.5,4.35,0.0,6112.0,REGULAR,2026-02-09 20:59:56,0.001,1
AAPL260213C00275000,275.0,2.8,0.0,31514.0,REGULAR,2026-02-09 20:59:58,0.3916,0
AAPL260213C00277500,277.5,1.8,0.0,9233.0,REGULAR,2026-02-09 20:59:52,3.126,0
AAPL260213C00280000,280.0,0.98,0.0,17823.0,REGULAR,2026-02-09 20:59:58,6.2509,0
AAPL260213C00282500,282.5,0.53,0.0,5390.0,REGULAR,2026-02-09 20:59:57,6.2509,0
AAPL260213C00285000,285.0,0.29,0.0,7283.0,REGULAR,2026-02-09 20:59:55,6.2509,0
AAPL260213C00287500,287.5,0.16,0.0,3017.0,REGULAR,2026-02-09 20:59:06,12.5009,0
AAPL260213C00290000,290.0,0.1,0.0,7833.0,REGULAR,2026-02-09 20:59:50,12.5009,0
AAPL260213C00292500,292.5,0.06,0.0,853.0,REGULAR,2026-02-09 20:58:13,12.5009,0
AAPL260213C00295000,295.0,0.04,0.0,7596.0,REGULAR,2026-02-09 20:59:07,12.5009,0
AAPL260213C00297500,297.5,0.02,0.0,287.0,REGULAR,2026-02-09 20:59:06,12.5009,0
AAPL260213C00300000,300.0,0.02,0.0,1027.0,REGULAR,2026-02-09 20:55:46,25.0008,0
AAPL260213C00302500,302.5,0.01,0.0,49.0,REGULAR,2026-02-09 20:59:27,25.0008,0
AAPL260213C00305000,305.0,0.01,0.0,53.0,REGULAR,2026-02-09 18:20:19,25.0008,0
AAPL260213C00310000,310.0,0.01,0.0,1.0,REGULAR,2026-02-09 20:19:58,25.0008,0
AAPL260213C00315000,315.0,0.01,0.0,25.0,REGULAR,2026-02-09 17:03:40,25.0008,0
AAPL260213C00320000,320.0,0.01,0.0,13.0,REGULAR,2026-02-06 18:10:32,25.0008,0
AAPL260213C00325000,325.0,0.01,0.0,3.0,REGULAR,2026-02-04 18:11:42,25.0008,0
AAPL260213C00330000,330.0,0.01,0.0,10.0,REGULAR,2026-01-29 20:51:46,50.0005,0
AAPL260213C00340000,340.0,0.06,0.0,1.0,REGULAR,2026-01-26 17:58:56,50.0005,0
AAPL260213C00345000,345.0,0.02,0.0,0.0,REGULAR,2026-01-13 17:59:10,50.0005,0
AAPL260213C00370000,370.0,0.01,0.0,0.0,REGULAR,2026-01-20 20:04:30,50.0005,0
AAPL260213C00380000,380.0,0.01,0.0,10.0,REGULAR,2026-02-06 15:08:13,50.0005,0
AAPL260213C00390000,390.0,0.01,0.0,0.0,REGULAR,2026-01-20 20:04:29,50.0005,0
