contractSymbol,strike,lastPrice,percentChange,volume,contractSize,lastTradeDate,impliedVolatility,inTheMoney
GOOG260515C00160000,160.0,171.63,0.0,3.0,REGULAR,2026-01-29 15:01:43,0.001,1
GOOG260515C00165000,165.0,160.45,0.0,1.0,REGULAR,2026-01-20 20:36:42,0.001,1
GOOG260515C00170000,170.0,157.1,0.0,2.0,REGULAR,2026-02-09 18:21:13,0.001,1
GOOG260515C00175000,175.0,132.9,0.0,0.0,REGULAR,2025-12-18 17:00:58,135.4556,1
GOOG260515C00180000,180.0,162.29,0.0,2.0,REGULAR,2026-02-03 20:24:02,0.001,1
GOOG260515C00185000,185.0,126.05,0.0,10.0,REGULAR,2025-12-19 16:22:59,126.8192,1
GOOG260515C00190000,190.0,134.2,0.0,1.0,REGULAR,2026-02-05 15:01:01,0.001,1
GOOG260515C00195000,195.0,144.3,0.0,1.0,REGULAR,2026-01-30 14:45:23,0.001,1
GOOG260515C00200000,200.0,139.5,0.0,1.0,REGULAR,2026-02-04 15:18:04,0.001,1
GOOG260515C00205000,205.0,123.12,0.0,2.0,REGULAR,2026-02-05 14:48:18,0.001,1
GOOG260515C00210000,210.0,123.38,0.0,1.0,REGULAR,2026-01-16 18:52:07,0.001,1
GOOG260515C00215000,215.0,129.87,0.0,3.0,REGULAR,2026-02-02 16:38:34,0.001,1
GOOG260515C00220000,220.0,115.0,0.0,8.0,REGULAR,2026-02-04 19:15:13,0.001,1
GOOG260515C00225000,225.0,104.66,0.0,3.0,REGULAR,2026-02-09 17:45:32,0.001,1
GOOG260515C00230000,230.0,108.41,0.0,1.0,REGULAR,2026-02-04 16:21:54,0.001,1
GOOG260515C00235000,235.0,95.69,0.0,10.0,REGULAR,2026-02-09 17:48:52,0.001,1
GOOG260515C00240000,240.0,93.33,0.0,1.0,REGULAR,2026-02-06 14:30:00,0.001,1
GOOG260515C00245000,245.0,86.06,0.0,1.0,REGULAR,2026-02-09 16:47:06,0.001,1
GOOG260515C00250000,250.0,79.25,0.0,1.0,REGULAR,2026-02-09 20:46:44,0.001,1
GOOG260515C00255000,255.0,74.2,0.0,5.0,REGULAR,2026-02-06 16:11:03,0.001,1
GOOG260515C00260000,260.0,70.47,0.0,40.0,REGULAR,2026-02-06 20:59:30,0.001,1
GOOG260515C00265000,265.0,66.18,0.0,13.0,REGULAR,2026-02-06 20:59:09,0.001,1
GOOG260515C00270000,270.0,63.41,0.0,1.0,REGULAR,2026-02-09 16:36:59,0.001,1
GOOG260515C00275000,275.0,64.69,0.0,16.0,REGULAR,2026-02-05 20:22:28,0.001,1
GOOG260515C00280000,280.0,56.18,0.0,2.0,REGULAR,2026-02-09 17:04:12,0.001,1
GOOG260515C00285000,285.0,48.7,0.0,24.0,REGULAR,2026-02-09 15:14:08,0.001,1
GOOG260515C00290000,290.0,46.97,0.0,13.0,REGULAR,2026-02-09 18:21:14,0.001,1
GOOG260515C00295000,295.0,41.4,0.0,3.0,REGULAR,2026-02-06 15:16:51,0.001,1
GOOG260515C00300000,300.0,39.51,0.0,208.0,REGULAR,2026-02-09 19:12:26,0.001,1
GOOG260515C00305000,305.0,33.78,0.0,1.0,REGULAR,2026-02-09 14:50:22,0.001,1
GOOG260515C00310000,310.0,33.0,0.0,4.0,REGULAR,2026-02-09 18:21:17,0.001,1
GOOG260515C00315000,315.0,29.93,0.0,28.0,REGULAR,2026-02-09 20:04:47,0.001,1
GOOG260515C00320000,320.0,26.6,0.0,98.0,REGULAR,2026-02-09 20:56:10,0.001,1
GOOG260515C00325000,325.0,23.89,0.0,474.0,REGULAR,2026-02-09 20:53:18,0.0987,0
GOOG260515C00330000,330.0,21.7,0.0,112.0,REGULAR,2026-02-09 20:17:06,0.7822,0
GOOG260515C00335000,335.0,19.03,0.0,73.0,REGULAR,2026-02-09 20:32:08,1.5635,0
GOOG260515C00340000,340.0,17.05,0.0,125.0,REGULAR,2026-02-09 20:50:33,1.5635,0
GOOG260515C00345000,345.0,15.63,0.0,69.0,REGULAR,2026-02-09 19:43:57,3.126,0
GOOG260515C00350000,350.0,13.47,0.0,194.0,REGULAR,2026-02-09 20:25:28,3.126,0
GOOG260515C00355000,355.0,12.23,0.0,46.0,REGULAR,2026-02-09 20:14:29,3.126,0
GOOG260515C00360000,360.0,10.65,0.0,105.0,REGULAR,2026-02-09 20:59:13,3.126,0
GOOG260515C00365000,365.0,9.15,0.0,54.0,REGULAR,2026-02-09 20:44:28,6.2509,0
GOOG260515C00370000,370.0,8.2,0.0,989.0,REGULAR,2026-02-09 20:59:55,6.2509,0
GOOG260515C00375000,375.0,7.35,0.0,68.0,REGULAR,2026-02-09 20:11:09,6.2509,0
GOOG260515C00380000,380.0,6.2,0.0,86.0,REGULAR,2026-02-09 20:44:00,6.2509,0
GOOG260515C00385000,385.0,5.5,0.0,79.0,REGULAR,2026-02-09 20:57:26,6.2509,0
GOOG260515C00390000,390.0,4.7,0.0,125.0,REGULAR,2026-02-09 20:48:43,6.2509,0
GOOG260515C00395000,395.0,4.09,0.0,1838.0,REGULAR,2026-02-09 20:48:27,6.2509,0
GOOG260515C00400000,400.0,3.61,0.0,88.0,REGULAR,2026-02-09 20:27:43,6.2509,0
GOOG260515C00405000,405.0,3.16,0.0,48.0,REGULAR,2026-02-09 20:52:05,6.2509,0
GOOG260515C00410000,410.0,2.72,0.0,96.0,REGULAR,2026-02-09 20:29:55,12.5009,0
GOOG260515C00415000,415.0,2.4,0.0,45.0,REGULAR,2026-02-09 20:52:05,12.5009,0
GOOG260515C00420000,420.0,2.2,0.0,7.0,REGULAR,2026-02-09 19:20:05,12.5009,0
GOOG260515C00425000,425.0,1.85,0.0,19.0,REGULAR,2026-02-09 20:27:43,12.5009,0
GOOG260515C00430000,430.0,1.66,0.0,51.0,REGULAR,2026-02-09 20:12:34,12.5009,0
GOOG260515C00435000,435.0,1.49,0.0,10.0,REGULAR,2026-02-09 19:14:14,12.5009,0
GOOG260515C00440000,440.0,1.33,0.0,3.0,REGULAR,2026-02-06 20:10:18,12.5009,0
GOOG260515C00445000,445.0,1.16,0.0,160.0,REGULAR,2026-02-06 20:49:04,12.5009,0
GOOG260515C00450000,450.0,0.97,0.0,8.0,REGULAR,2026-02-09 20:27:43,12.5009,0
GOOG260515C00455000,455.0,2.27,0.0,3.0,REGULAR,2026-02-04 19:24:16,12.5009,0
GOOG260515C00460000,460.0,0.79,0.0,10.0,REGULAR,2026-02-09 20:28:26,12.5009,0
GOOG260515C00470000,470.0,0.6,0.0,5.0,REGULAR,2026-02-09 20:36:09,12.5009,0
GOOG260515C00480000,480.0,0.51,0.0,1.0,REGULAR,2026-02-09 14:30:13,12.5009,0
GOOG260515C00490000,490.0,0.42,0.0,2.0,REGULAR,2026-02-06 15:56:32,12.5009,0
GOOG260515C00500000,500.0,0.33,0.0,35.0,REGULAR,2026-02-09 19:25:08,12.5009,0
