contractSymbol,strike,lastPrice,percentChange,contractSize,lastTradeDate,impliedVolatility,inTheMoney,volume
QQQ261218P00204780,204.78,0.74,0.0,REGULAR,2026-02-09 18:35:03,25.0008,0,30.0
QQQ261218P00209780,209.78,0.86,0.0,REGULAR,2026-01-20 16:15:21,25.0008,0,1.0
QQQ261218P00214780,214.78,0.9,0.0,REGULAR,2026-02-06 18:01:35,25.0008,0,2.0
QQQ261218P00219780,219.78,0.88,0.0,REGULAR,2026-01-14 15:00:47,25.0008,0,1.0
QQQ261218P00224780,224.78,1.07,0.0,REGULAR,2026-01-14 18:17:35,25.0008,0,14.0
QQQ261218P00229780,229.78,1.03,0.0,REGULAR,2026-02-04 16:32:56,25.0008,0,1.0
QQQ261218P00234780,234.78,1.09,0.0,REGULAR,2026-02-06 16:11:51,25.0008,0,250.0
QQQ261218P00239780,239.78,1.12,0.0,REGULAR,2026-02-06 16:10:20,25.0008,0,468.0
QQQ261218P00244780,244.78,1.2,0.0,REGULAR,2026-02-04 15:00:10,25.0008,0,1.0
QQQ261218P00249780,249.78,1.76,0.0,REGULAR,2025-11-11 14:40:24,47.6446,0,20.0
QQQ261218P00250000,250.0,1.19,0.0,REGULAR,2026-02-02 15:02:24,12.5009,0,1.0
QQQ261218P00254780,254.78,1.39,0.0,REGULAR,2025-12-22 17:27:22,47.0708,0,5.0
QQQ261218P00255000,255.0,1.52,0.0,REGULAR,2026-02-04 17:47:25,12.5009,0,3.0
QQQ261218P00259780,259.78,1.25,0.0,REGULAR,2026-01-26 15:26:25,12.5009,0,4.0
QQQ261218P00260000,260.0,1.63,0.0,REGULAR,2026-02-05 20:53:57,12.5009,0,10.0
QQQ261218P00264780,264.78,1.48,0.0,REGULAR,2025-12-23 17:30:27,45.9356,0,20.0
QQQ261218P00265000,265.0,1.77,0.0,REGULAR,2026-02-05 20:53:57,12.5009,0,5.0
QQQ261218P00269780,269.78,1.45,0.0,REGULAR,2026-01-29 14:46:34,12.5009,0,2.0
QQQ261218P00270000,270.0,1.49,0.0,REGULAR,2026-01-08 20:44:09,12.5009,0,1.0
QQQ261218P00274780,274.78,1.8,0.0,REGULAR,2025-12-22 14:30:04,44.7759,0,1.0
QQQ261218P00275000,275.0,1.75,0.0,REGULAR,2026-02-06 14:55:13,12.5009,0,1.0
QQQ261218P00279780,279.78,1.5,0.0,REGULAR,2026-01-26 15:26:25,12.5009,0,4.0
QQQ261218P00280000,280.0,1.58,0.0,REGULAR,2026-02-09 19:34:51,12.5009,0,1.0
QQQ261218P00284780,284.78,1.63,0.0,REGULAR,2026-01-26 21:02:56,12.5009,0,4.0
QQQ261218P00285000,285.0,1.72,0.0,REGULAR,2026-01-22 18:25:18,12.5009,0,1.0
QQQ261218P00289780,289.78,2.18,0.0,REGULAR,2025-12-10 14:31:02,43.1829,0,5.0
QQQ261218P00290000,290.0,1.83,0.0,REGULAR,2026-02-09 19:34:51,12.5009,0,23.0
QQQ261218P00294780,294.78,1.79,0.0,REGULAR,2026-01-26 15:26:10,12.5009,0,5.0
QQQ261218P00295000,295.0,2.0,0.0,REGULAR,2026-02-06 18:00:06,12.5009,0,1.0
QQQ261218P00299780,299.78,1.91,0.0,REGULAR,2026-01-26 21:03:45,12.5009,0,2.0
QQQ261218P00300000,300.0,2.08,0.0,REGULAR,2026-02-06 20:17:39,12.5009,0,1.0
QQQ261218P00304780,304.78,2.04,0.0,REGULAR,2026-01-23 20:26:57,12.5009,0,80.0
QQQ261218P00305000,305.0,2.27,0.0,REGULAR,2026-01-14 17:38:56,12.5009,0,8.0
QQQ261218P00309780,309.78,2.05,0.0,REGULAR,2026-01-26 15:26:10,12.5009,0,5.0
QQQ261218P00310000,310.0,2.2,0.0,REGULAR,2026-02-09 16:03:38,12.5009,0,2.0
QQQ261218P00314780,314.78,2.6,0.0,REGULAR,2026-01-20 14:57:39,12.5009,0,13.0
QQQ261218P00315000,315.0,2.84,0.0,REGULAR,2026-02-05 19:06:34,12.5009,0,1.0
QQQ261218P00319780,319.78,3.05,0.0,REGULAR,2026-02-05 16:22:00,12.5009,0,6.0
QQQ261218P00320000,320.0,2.8,0.0,REGULAR,2026-02-04 19:38:07,12.5009,0,20.0
QQQ261218P00324780,324.78,2.81,0.0,REGULAR,2026-02-06 16:15:20,12.5009,0,148.0
QQQ261218P00325000,325.0,2.83,0.0,REGULAR,2026-02-06 16:15:20,12.5009,0,452.0
QQQ261218P00329780,329.78,2.71,0.0,REGULAR,2026-02-09 17:18:10,12.5009,0,1.0
QQQ261218P00330000,330.0,2.85,0.0,REGULAR,2026-02-06 20:11:18,12.5009,0,54.0
QQQ261218P00334780,334.78,3.0,0.0,REGULAR,2026-01-29 16:16:17,12.5009,0,1.0
QQQ261218P00335000,335.0,2.89,0.0,REGULAR,2026-01-29 16:43:13,12.5009,0,1.0
QQQ261218P00339780,339.78,3.0,0.0,REGULAR,2026-02-09 15:20:28,12.5009,0,1.0
QQQ261218P00340000,340.0,2.95,0.0,REGULAR,2026-02-09 18:24:00,12.5009,0,1.0
QQQ261218P00344780,344.78,3.05,0.0,REGULAR,2026-01-06 18:44:02,12.5009,0,1.0
