contractSymbol,strike,lastPrice,percentChange,contractSize,lastTradeDate,impliedVolatility,inTheMoney,volume
QQQ271217C00205000,205.0,421.5,0.0,REGULAR,2026-02-09 17:39:05,0.001,1,1.0
QQQ271217C00210000,210.0,425.66,0.0,REGULAR,2026-02-02 14:52:44,0.001,1,1.0
QQQ271217C00215000,215.0,411.0,0.0,REGULAR,2026-02-03 20:18:33,0.001,1,40.0
QQQ271217C00220000,220.0,415.43,0.0,REGULAR,2026-01-16 17:24:11,0.001,1,1.0
QQQ271217C00225000,225.0,401.25,0.0,REGULAR,2025-10-21 14:06:04,52.0757,1,1.0
QQQ271217C00230000,230.0,380.85,0.0,REGULAR,2026-02-05 15:11:20,0.001,1,1.0
QQQ271217C00235000,235.0,406.0,0.0,REGULAR,2026-01-12 16:38:33,0.001,1,1.0
QQQ271217C00240000,240.0,402.8,0.0,REGULAR,2026-01-13 17:15:36,0.001,1,2.0
QQQ271217C00245000,245.0,389.8,0.0,REGULAR,2025-10-24 14:28:23,50.6749,1,1.0
QQQ271217C00250000,250.0,386.1,0.0,REGULAR,2026-01-30 20:08:27,0.001,1,2.0
QQQ271217C00255000,255.0,382.5,0.0,REGULAR,2026-01-06 14:51:07,0.001,1,1.0
QQQ271217C00260000,260.0,355.0,0.0,REGULAR,2025-11-18 15:07:16,60.973,1,1.0
QQQ271217C00265000,265.0,245.5,0.0,REGULAR,2025-05-01 17:00:19,0.001,1,2.0
QQQ271217C00270000,270.0,344.83,0.0,REGULAR,2026-02-05 20:35:21,0.001,1,1.0
QQQ271217C00275000,275.0,329.0,0.0,REGULAR,2025-09-10 15:24:17,31.7359,1,3.0
QQQ271217C00280000,280.0,364.25,0.0,REGULAR,2025-11-10 19:15:05,58.3546,1,3.0
QQQ271217C00285000,285.0,353.84,0.0,REGULAR,2026-01-05 14:30:02,0.001,1,1.0
QQQ271217C00290000,290.0,355.5,0.0,REGULAR,2025-11-05 15:52:41,56.9813,1,9.0
QQQ271217C00295000,295.0,297.5,0.0,REGULAR,2025-08-20 13:43:41,43.4759,1,1.0
QQQ271217C00300000,300.0,329.8,0.0,REGULAR,2026-02-06 21:00:18,0.001,1,29.0
QQQ271217C00305000,305.0,327.0,0.0,REGULAR,2026-02-09 15:11:14,0.001,1,5.0
