contractSymbol,strike,lastPrice,percentChange,volume,contractSize,lastTradeDate,impliedVolatility,inTheMoney
NVDA260313C00080000,80.0,95.9,0.0,0.0,REGULAR,2026-02-05 17:42:49,0.001,1
NVDA260313C00085000,85.0,99.3,0.0,2.0,REGULAR,2026-02-06 16:17:16,0.001,1
NVDA260313C00090000,90.0,93.78,0.0,4.0,REGULAR,2026-02-06 16:23:46,0.001,1
NVDA260313C00100000,100.0,86.4,0.0,4.0,REGULAR,2026-02-06 20:41:36,0.001,1
NVDA260313C00110000,110.0,75.8,0.0,3.0,REGULAR,2026-02-06 20:14:17,0.001,1
NVDA260313C00115000,115.0,70.12,0.0,1.0,REGULAR,2026-02-06 17:55:25,0.001,1
NVDA260313C00120000,120.0,72.08,0.0,1.0,REGULAR,2026-02-09 15:55:52,0.001,1
NVDA260313C00125000,125.0,60.61,0.0,1.0,REGULAR,2026-02-06 18:58:43,0.001,1
NVDA260313C00130000,130.0,61.83,0.0,2.0,REGULAR,2026-02-09 14:58:06,0.001,1
NVDA260313C00135000,135.0,51.55,0.0,299.0,REGULAR,2026-02-06 20:20:55,0.001,1
NVDA260313C00140000,140.0,52.9,0.0,3.0,REGULAR,2026-02-09 16:53:03,0.001,1
NVDA260313C00145000,145.0,41.85,0.0,1.0,REGULAR,2026-02-09 14:30:43,0.001,1
NVDA260313C00150000,150.0,42.35,0.0,55.0,REGULAR,2026-02-09 19:09:23,0.001,1
NVDA260313C00155000,155.0,37.0,0.0,56.0,REGULAR,2026-02-09 20:56:37,0.001,1
NVDA260313C00160000,160.0,34.11,0.0,43.0,REGULAR,2026-02-09 17:45:37,0.001,1
NVDA260313C00165000,165.0,30.02,0.0,26.0,REGULAR,2026-02-09 17:22:07,0.001,1
NVDA260313C00170000,170.0,24.2,0.0,125.0,REGULAR,2026-02-09 20:56:34,0.001,1
NVDA260313C00175000,175.0,20.33,0.0,86.0,REGULAR,2026-02-09 20:42:02,0.001,1
NVDA260313C00180000,180.0,16.96,0.0,207.0,REGULAR,2026-02-09 20:55:45,0.001,1
NVDA260313C00185000,185.0,13.85,0.0,875.0,REGULAR,2026-02-09 20:59:35,0.001,1
NVDA260313C00190000,190.0,10.98,0.0,1802.0,REGULAR,2026-02-09 20:56:06,0.001,1
NVDA260313C00195000,195.0,8.57,0.0,1630.0,REGULAR,2026-02-09 20:59:59,1.5635,0
NVDA260313C00200000,200.0,6.6,0.0,1795.0,REGULAR,2026-02-09 20:59:57,3.126,0
NVDA260313C00205000,205.0,5.02,0.0,753.0,REGULAR,2026-02-09 20:58:01,6.2509,0
NVDA260313C00210000,210.0,3.65,0.0,1434.0,REGULAR,2026-02-09 20:59:53,6.2509,0
NVDA260313C00215000,215.0,2.65,0.0,1493.0,REGULAR,2026-02-09 20:56:45,12.5009,0
NVDA260313C00220000,220.0,1.88,0.0,1641.0,REGULAR,2026-02-09 20:51:30,12.5009,0
NVDA260313C00225000,225.0,1.34,0.0,820.0,REGULAR,2026-02-09 20:56:37,12.5009,0
NVDA260313C00230000,230.0,0.94,0.0,1350.0,REGULAR,2026-02-09 20:55:20,12.5009,0
NVDA260313C00235000,235.0,0.66,0.0,104.0,REGULAR,2026-02-09 20:28:17,12.5009,0
NVDA260313C00240000,240.0,0.48,0.0,277.0,REGULAR,2026-02-09 20:55:16,12.5009,0
NVDA260313C00245000,245.0,0.34,0.0,219.0,REGULAR,2026-02-09 18:23:03,12.5009,0
NVDA260313C00250000,250.0,0.27,0.0,148.0,REGULAR,2026-02-09 19:57:07,25.0008,0
NVDA260313C00255000,255.0,0.2,0.0,33.0,REGULAR,2026-02-09 17:45:19,25.0008,0
NVDA260313C00260000,260.0,0.15,0.0,12.0,REGULAR,2026-02-06 20:43:44,25.0008,0
NVDA260313C00265000,265.0,0.13,0.0,2.0,REGULAR,2026-02-09 17:35:38,25.0008,0
NVDA260313C00270000,270.0,0.09,0.0,23.0,REGULAR,2026-02-09 18:48:22,25.0008,0
NVDA260313C00275000,275.0,0.08,0.0,2.0,REGULAR,2026-02-09 18:21:13,25.0008,0
NVDA260313C00280000,280.0,0.06,0.0,1.0,REGULAR,2026-02-06 20:31:17,25.0008,0
NVDA260313C00285000,285.0,0.06,0.0,14.0,REGULAR,2026-02-09 15:48:07,25.0008,0
NVDA260313C00290000,290.0,0.03,0.0,1.0,REGULAR,2026-02-06 16:52:09,25.0008,0
NVDA260313C00300000,300.0,0.03,0.0,1.0,REGULAR,2026-02-05 17:43:42,25.0008,0
